CODIGO_PRODUTO,GIRO_MEDIO_DIAS,TOTAL_ENTRADAS,GIRO_MEDIO_MESES,CLASSIFICACAO_GIRO,2023,2024,2025,2026,TENDENCIA,TENDENCIA_PERC
CM000677,101.0,2,3.3666666666666667,BAIXO,3.3333333333333335,0.0,0.0,0.0,-3.3333333333333335,-1.0
CM000680,85.33333333333333,4,2.844444444444444,MEDIO,0.0,1.0,0.0,0.0,0.0,0.0
CM000683,92.0,2,3.066666666666667,BAIXO,0.0,0.5,0.0,0.0,0.0,0.0
CM000684,126.66666666666667,4,4.222222222222222,BAIXO,0.16666666666666666,0.8333333333333334,0.0,0.0,-0.16666666666666666,-1.0
CM000689,129.25,5,4.308333333333334,BAIXO,2.1666666666666665,2.3333333333333335,1.3333333333333333,0.0,-0.8333333333333333,-0.3846153846153846
CM000701,159.6,6,5.319999999999999,BAIXO,2.3333333333333335,2.6666666666666665,0.8333333333333334,0.0,-1.5,-0.6428571428571428
CM000703,114.4,6,3.8133333333333335,BAIXO,0.5,2.9166666666666665,3.3333333333333335,0.0,2.8333333333333335,5.666666666666667
CM000705,147.0,5,4.9,BAIXO,0.6666666666666666,1.0,2.8333333333333335,0.0,2.166666666666667,3.2500000000000004
CM000723,154.75,5,5.158333333333333,BAIXO,1.0,2.3333333333333335,1.3333333333333333,0.0,0.33333333333333326,0.33333333333333326
CM000739,157.0,2,5.233333333333333,BAIXO,0.08333333333333333,0.08333333333333333,0.0,0.0,-0.08333333333333333,-1.0
CM000741,157.0,2,5.233333333333333,BAIXO,0.08333333333333333,0.08333333333333333,0.0,0.0,-0.08333333333333333,-1.0
CM000755,168.5,5,5.616666666666666,BAIXO,0.4166666666666667,0.0,1.4166666666666667,0.0,1.0,2.4
CM000791,9.0,2,0.3,ALTO,21.0,0.0,0.0,0.0,-21.0,-1.0
CM000792,174.0,3,5.8,BAIXO,12.5,8.333333333333334,0.0,0.0,-12.5,-1.0
CM000793,135.33333333333334,7,4.511111111111111,BAIXO,15.0,15.0,7.5,0.0,-7.5,-0.5
CM000794,96.42857142857143,8,3.2142857142857144,BAIXO,4.166666666666667,7.083333333333333,4.166666666666667,0.0,0.0,0.0
CM000795,166.5,5,5.55,BAIXO,2.8333333333333335,2.5,2.8333333333333335,0.0,0.0,0.0
CM000817,136.75,5,4.558333333333334,BAIXO,9.583333333333334,10.0,0.0,0.0,-9.583333333333334,-1.0
CM000818,129.5,5,4.316666666666666,BAIXO,7.5,10.0,0.0,0.0,-7.5,-1.0
CM000842,161.6,6,5.386666666666667,BAIXO,3.0,1.3333333333333333,4.833333333333333,0.0,1.833333333333333,0.611111111111111
CM000848,131.0,8,4.366666666666666,BAIXO,0.8333333333333334,0.3333333333333333,0.6666666666666666,0.0,-0.16666666666666674,-0.20000000000000007
CM000849,60.0,2,2.0,MEDIO,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
CM000856,138.2,6,4.6066666666666665,BAIXO,2.0833333333333335,2.1666666666666665,1.3333333333333333,0.0,-0.7500000000000002,-0.3600000000000001
CM000860,131.5,7,4.383333333333334,BAIXO,0.5,0.6666666666666666,2.75,0.0,2.25,4.5
CM000861,123.5,3,4.116666666666666,BAIXO,0.0,0.3333333333333333,0.5,0.0,0.5,0.5
